name,sex,count,year
Adrienne,F,340,2014
Kristen,F,340,2014
Laurel,F,340,2014
Roselyn,F,340,2014
Aliza,F,339,2014
Kori,F,339,2014
Lorelai,F,338,2014
Aimee,F,337,2014
Lara,F,337,2014
Sloan,F,337,2014
Jenny,F,336,2014
Katalina,F,336,2014
Magnolia,F,336,2014
Amya,F,335,2014
Carlee,F,335,2014
Aurelia,F,334,2014
Aubri,F,333,2014
Ayleen,F,333,2014
Natalee,F,333,2014
Iliana,F,332,2014
Ariya,F,331,2014
Elliott,F,331,2014
Heather,F,331,2014
Evalyn,F,330,2014
Jessa,F,330,2014
Rayna,F,330,2014
Rory,F,330,2014
Collins,F,329,2014
Hana,F,329,2014
Kenna,F,329,2014
Estrella,F,328,2014
Jordynn,F,327,2014
Rosie,F,327,2014
Aiyana,F,326,2014
America,F,325,2014
Susan,F,325,2014
Tegan,F,324,2014
Angeline,F,323,2014
Barbara,F,323,2014
Janiya,F,323,2014
Lillianna,F,323,2014
Abbigail,F,322,2014
Alissa,F,322,2014
Temperance,F,322,2014
Briley,F,321,2014
Emmalee,F,321,2014
Taryn,F,321,2014
Carla,F,320,2014
Chana,F,319,2014
Kailee,F,319,2014
Kenia,F,319,2014
Zaria,F,319,2014
Aliya,F,317,2014
Bonnie,F,317,2014
Joslyn,F,316,2014
Jewel,F,315,2014
Hadleigh,F,314,2014
Marianna,F,314,2014
Paloma,F,314,2014
Sharon,F,314,2014
Giovanna,F,313,2014
Keyla,F,313,2014
Audriana,F,312,2014
Emmaline,F,312,2014
Avianna,F,311,2014
Kimora,F,311,2014
Mckayla,F,311,2014
Saniyah,F,311,2014
Wynter,F,311,2014
Jaida,F,309,2014
Salma,F,309,2014
Karlie,F,308,2014
Diamond,F,307,2014
Zendaya,F,307,2014
Amalia,F,306,2014
Kaidence,F,306,2014
Kairi,F,306,2014
Libby,F,306,2014
Sherlyn,F,305,2014
Alisha,F,304,2014
Ellison,F,304,2014
Holland,F,304,2014
Kaleigh,F,303,2014
Miya,F,303,2014
Anniston,F,302,2014
Ayanna,F,302,2014
Emmeline,F,302,2014
Harlee,F,302,2014
Lilyanna,F,302,2014
Mariyah,F,302,2014
Yasmin,F,302,2014
Zainab,F,302,2014
Estelle,F,301,2014
Julianne,F,300,2014
Bryleigh,F,299,2014
Tara,F,298,2014
Zion,F,298,2014
Anabel,F,297,2014
Astrid,F,297,2014
Faye,F,297,2014
Kiana,F,297,2014
Tabitha,F,297,2014
Sidney,F,295,2014
Zahra,F,295,2014
Emerie,F,294,2014
Janae,F,294,2014
Rivka,F,293,2014
Alyvia,F,292,2014
Aubriella,F,291,2014
Ingrid,F,291,2014
Jaylin,F,291,2014
Kinslee,F,291,2014
Lilia,F,291,2014
Macey,F,291,2014
Addilynn,F,290,2014
Hadlee,F,290,2014
Kaitlynn,F,290,2014
Azaria,F,289,2014
Kaiya,F,289,2014
Mercy,F,289,2014
Neriah,F,289,2014
Noa,F,289,2014
Reina,F,289,2014
Annabell,F,288,2014
Mattie,F,288,2014
Ariyah,F,287,2014
Clementine,F,287,2014
Maliah,F,287,2014
Marleigh,F,287,2014
Scarlette,F,287,2014
Alisa,F,286,2014
Alisson,F,286,2014
Frida,F,286,2014
Alannah,F,284,2014
Ann,F,283,2014
Dalia,F,283,2014
Sonia,F,283,2014
Avalynn,F,282,2014
Renee,F,282,2014
Stevie,F,282,2014
Judith,F,281,2014
Louisa,F,281,2014
Remy,F,281,2014
Ayva,F,280,2014
Estella,F,280,2014
Paulina,F,280,2014
Milani,F,279,2014
Raina,F,279,2014
Azariah,F,278,2014
Gwen,F,278,2014
Julieta,F,278,2014
Aubrianna,F,277,2014
Abrielle,F,276,2014
Bryn,F,276,2014
Lesly,F,276,2014
Riya,F,276,2014
Carlie,F,275,2014
Moriah,F,275,2014
Landry,F,274,2014
